OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus,ComplianceIssue
1,2018,MAYFLOWER PARK HOTEL,NonResidential,659000030,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,DOWNTOWN,1,1927,12,0,88434,88434,0,Hotel,60,84.4,83.8,7465990,7408290,170.1,168.9,Hotel,88434,NA,,NA,,1145355,3907951,14101,1410145,2090193,196.4,2.2,Compliant,No Issue
2,2018,PARAMOUNT HOTEL,NonResidential,659000220,724 PINE ST,SEATTLE,WA,98101,47.61317,-122.33393,DOWNTOWN,1,1996,11,1,103566,88502,15064,Hotel,71,90,89.2,7962964,7897345,151.2,150.4,Hotel,83880,Parking,15064,Restaurant,4622,840157,2866615,50307,5030730,0,274.8,3.1,Compliant,No Issue
3,2018,WESTIN HOTEL (Parent Building),NonResidential,659000475,1900 5TH AVE,SEATTLE,WA,98101,47.61393,-122.3381,DOWNTOWN,1,1969,41,3,956110,759392,196718,Hotel,64,89,88.2,67336376,66755536,200.6,199.7,Hotel,756493,Parking,138635,Swimming Pool,0,13028620,44453651,14503,1450300,20851598,1304.2,1.7,Compliant,No Issue
5,2018,HOTEL MAX,NonResidential,659000640,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,DOWNTOWN,7,1926,10,0,61320,61320,0,Hotel,39,121.1,120,7426193,7360236,209,206,Hotel,61320,NA,,NA,,769653,2626057,27306,2730608,2003570,258.5,4.2,Compliant,No Issue
8,2018,WARWICK SEATTLE HOTEL,NonResidential,659000970,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,DOWNTOWN,1,1980,18,0,175580,113580,62000,Hotel,81,107.4,106.4,13261917,13134094,179.6,179.1,Hotel,123445,Parking,68009,Swimming Pool,0,1392492,4751183,83829,8382912,0,457.9,4,Compliant,No Issue
10,2018,CAMLIN WORLDMARK HOTEL,NonResidential,660000825,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,DOWNTOWN,7,1926,11,0,83008,83008,0,Hotel,53,72.9,71.2,5928950,5791972,131.6,129.1,Hotel,81352,NA,,NA,,740400,2526245,32657,3265727,0,180.2,2.2,Compliant,No Issue
15,2018,HOTEL MONACO,NonResidential,942000145,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,DOWNTOWN,1,1969,11,0,153163,133884,19279,Hotel,48,120,118.3,16059593,15833285,206.3,204.9,Hotel,133884,Parking,19279,NA,,1662347,5671928,44299,4429862,5731494,555.1,4.1,Compliant,No Issue
16,2018,W SEATTLE HOTEL,NonResidential,942000165,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,DOWNTOWN,1,1998,25,0,333176,272015,61161,Hotel,38,92.3,92.4,26950742,26981740,208,208.6,Hotel,292079,Parking,44561,NA,,5311972,18124448,30510,3051000,5806291,519.1,1.9,Not Compliant,Default Data
17,2018,EXECUTIVE PACIFIC PLAZA,NonResidential,942000210,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,DOWNTOWN,7,1928,9,0,65009,65009,0,Hotel,60,73.5,73.5,4777262,4777262,117.9,117.9,Hotel,65009,NA,,NA,,410361,1400152,20787,2078675,1298435,183.2,2.8,Compliant,No Issue
18,2018,CROWNE PLAZA,NonResidential,942000235,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,DOWNTOWN,7,1980,33,0,353111,295511,57600,Hotel,70,78.5,78.5,23188590,23188590,163.4,163.4,Hotel,295511,Parking,57600,NA,,4008800,13678026,95106,9510564,0,541.6,1.8,Compliant,No Issue
19,2018,HOTEL VINTAGE PARK,NonResidential,942000265,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,DOWNTOWN,1,1922,11,0,92190,66990,25200,Hotel,24,146.4,143.8,9867718,9688961,248.4,245.3,Hotel,67390,Parking,18031,NA,,952972,3251539,20906,2090646,4346775,350.8,5.2,Compliant,No Issue
23,2018,RENAISSANCE MADISON HOTEL,NonResidential,942000430,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,DOWNTOWN,7,1983,28,0,416281,331281,85000,Hotel,37,95,94.6,33087274,32968230,203.2,203.2,Hotel,348329,Parking,85000,NA,,6055088,20659960,123083,12308269,0,708.8,2.1,Compliant,No Issue
28,2018,GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,1102000138,5101 S GRAHAM ST,SEATTLE,WA,98118,47.54576,-122.26853,SOUTHEAST,2,1961,2,0,56228,56228,0,K-12 School,91,27,25.8,1593467,1519057,54.2,52.4,K-12 School,58916,NA,,NA,,250309,854056,6650,665001,0,37.6,0.7,Compliant,No Issue
29,2018,WATERTOWN HOTEL,NonResidential,1142000755,4242 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65959,-122.31755,NORTHEAST,1,2001,6,1,98356,67770,30586,Hotel,95,52.3,52,3542863,3521933,112.2,111.9,Hotel,67770,Parking,30586,NA,,650600,2219847,13021,1302086,0,75.1,1.1,Compliant,No Issue
32,2018,HOMEWOOD SUITES -SEATTLE - Hilton,NonResidential,660001832,1011 PIKE ST,SEATTLE,WA,98101,47.61301,-122.32929,EAST,1,1991,8,0,158676,128375,30301,Hotel,49,97,96.1,11370701,11265730,187.6,186,Hotel,117176,Parking,42000,Swimming Pool,0,1669762,5697228,55685,5568502,0,311,2.4,Compliant,No Issue
33,2018,SPRINGHILL SUITES SEATTLE DOWNTOWN,NonResidential,660002680,1800 YALE AVE,SEATTLE,WA,98101,47.61784,-122.32966,DOWNTOWN,7,2001,10,0,171866,133585,38281,Hotel,60,87,86.9,11209339,11199122,170.5,171.2,Hotel,128909,Parking,38301,NA,,1726193,5889771,53093,5309350,0,297.7,2.2,Compliant,No Issue
34,2018,MEANY MIDDLE SCHOOL (SPS-DISTRICT),SPS-District K-12,688000090,300 20TH AVE E,SEATTLE,WA,98112,47.62266,-122.30547,SHARED: CENTRAL &amp; EAST,3,1955,1,0,126351,126351,0,K-12 School,96,26.8,24.9,3385705,3147250,35.8,33.3,K-12 School,126351,NA,,NA,,151593,517237,26300,2630014,0,141.1,1.1,Compliant,No Issue
35,2018,HOTEL FIVE,NonResidential,697000170,2200 5TH AVE,SEATTLE,WA,98121,47.61558,-122.34186,DOWNTOWN,1,1978,5,0,68410,52210,16200,Hotel,67,78.6,78.1,4102638,4079408,161.5,160.3,Hotel,52210,Parking,15400,NA,,684289,2334795,17446,1744613,0,98.9,1.9,Compliant,No Issue
36,2018,JANE ADDAMS MIDDLE (SPS-DISTRICT),SPS-District K-12,752000170,11031 34TH AVE NE,SEATTLE,WA,98125,47.70994,-122.29301,NORTH,1,1949,2,0,160645,160645,0,K-12 School,71,39.8,37.4,6603814,6206542,61.9,59,K-12 School,166021,NA,,NA,,548087,1870074,43365,4336468,0,235.3,1.5,Compliant,No Issue
37,2018,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,809000005,201 GARFIELD ST,SEATTLE,WA,98109,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,7,1989,2,0,51582,51582,0,K-12 School,73,27,26.1,1491331,1439059,75.7,73,K-12 School,55166,NA,,NA,,421764,1439059,0,0,0,3.8,0.1,Compliant,No Issue
40,2018,SILVER CLOUD INN UNIVERSITY,NonResidential,925049117,5036 25TH AVE NE,SEATTLE,WA,98105,47.66583,-122.29965,NORTHEAST,4,1994,4,0,81871,81871,0,Hotel,27,78.2,78.3,6399247,6406894,148.4,148.7,Hotel,81871,NA,,NA,,912037,3111871,32950,3295023,0,183.3,2.2,Compliant,No Issue
50,2018,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,369000400,4017 26TH AVE W,SEATTLE,WA,98199,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,7,1990,2,0,54986,54986,0,K-12 School,73,32.2,30.7,1771207,1688685,73,70.1,K-12 School,54986,NA,,NA,,348618,1189486,4992,499199,0,29.7,0.5,Compliant,No Issue
51,2018,ECKSTEIN MIDDLE (SPS-DISTRICT),SPS-District K-12,425049022,3003 NE 75TH ST,SEATTLE,WA,98115,47.68252,-122.29498,NORTHEAST,4,1950,2,0,175565,175565,0,K-12 School,93,34.7,32.3,6230373,5797068,50.7,47.9,K-12 School,179513,NA,,NA,,420665,1435310,43618,4361758,0,235.5,1.3,Compliant,No Issue
54,2018,BLANCHET HIGH SCHOOL,NonResidential,625049002,8200 WALLINGFORD AVE N,SEATTLE,WA,98103,47.68891,-122.33553,NORTHWEST,1,1954,3,0,175015,175015,0,K-12 School,69,57.5,54.6,10059544,9547488,90.2,86.6,K-12 School,175015,NA,,NA,,860602,2936376,66111,6611112,0,359,2.1,Compliant,No Issue
56,2018,HILTON SEATTLE,NonResidential,7802920020,1301 6TH AVE,SEATTLE,WA,98101,47.60946,-122.33337,DOWNTOWN,1,1969,24,0,332210,126240,205970,Hotel,95,44.5,44.3,15512941,15431908,92.8,92.5,Hotel,348630,NA,,NA,,2689945,9178092,62538,6253815,0,356.6,2.8,Compliant,No Issue
57,2018,5TH & PINE,NonResidential,1975700200,1513 5TH AVE,SEATTLE,WA,98101,47.6113,-122.33659,DOWNTOWN,7,1973,5,0,168115,168115,0,Office,78,53.5,53.8,9066856,9114712,149.7,150.5,Office,103362,Retail Store,65676,Data Center,493,2671369,9114711,0,0,0,24.3,0.1,Compliant,No Issue
62,2018,ROOSEVELT HOTEL (HOTEL THEODORE),NonResidential,1976700010,1531 7TH AVE,SEATTLE,WA,98101,47.61233,-122.33432,DOWNTOWN,1,1930,20,0,98634,88591,10043,Hotel,51,84.4,83.8,7651354,7591841,184.2,182.3,Hotel,83591,Parking,10043,Restaurant,7057,1379876,4708137,8080,807954,2075751,165.8,1.9,Compliant,No Issue
63,2018,SHERATON GRAND SEATTLE - (Parent Building),Campus,1976700095,1400 6TH AVE,SEATTLE,WA,98101,47.61087,-122.33339,DOWNTOWN,1,1982,34,2,1083197,926614,156583,Hotel,65,88.6,87.9,88123088,87435872,176.9,176.2,Hotel,994212,Parking,117668,Swimming Pool,0,13669650,46640846,292765,29276491,11518554,2291.7,2.5,Compliant,No Issue
65,2018,INN AT THE MARKET,NonResidential,1977200050,86 PINE ST,SEATTLE,WA,98101,47.60997,-122.34138,DOWNTOWN,7,1985,7,0,71150,71150,0,Hotel,98,88.9,88.6,5105488,5088944,190.1,189.8,Hotel,41340,Parking,13730,Retail Store,9604,929902,3172825,19161,1916119,0,110.2,1.5,Compliant,No Issue
67,2018,QUALITY INN & SUITES - SEATTLE,NonResidential,1991200730,618 JOHN ST,SEATTLE,WA,98109,47.61986,-122.34413,LAKE UNION,7,1959,5,0,113173,70627,42546,Hotel,92,68.3,67.9,4826396,4792422,135.7,134.3,Hotel,70627,Parking,42546,NA,,746117,2545752,22467,2246670,0,126.1,1.8,Compliant,No Issue
68,2018,HOLIDAY INN - SEATTLE,NonResidential,1991200935,211 DEXTER AVE N,SEATTLE,WA,98109,47.62001,-122.34274,LAKE UNION,7,2000,7,0,150453,115718,34735,Hotel,88,66.4,66,7682808,7635998,124.3,124.2,Hotel,115718,Parking,34735,NA,,1064094,3630689,40053,4005307,0,222.4,1.9,Compliant,No Issue
